20240203135051,0;0;0;0;0;0,0.1316788;-0.3186618;-0.388614;0.04151013;-0.2624034;0.05378198,57;53;52;48;47;29;32;28,11.948;11.912;11.816;11.3;11.3;4.9;4.882;4.8
20240203135051,0;0;0;0;0;0,0.1316788;-0.3186618;-0.388614;0.04151013;-0.2624034;0.05378198,57;53;52;48;47;29;32;28,11.948;11.912;11.816;11.3;11.3;4.9;4.882;4.8
20240203135052,0;0;0;0;0;0,0.005358849;0.2494429;-1.224864;0.004694596;-0.01389848;0.006228577,56;53;52;48;47;29;32;28,11.94;11.884;11.788;11.3;11.3;4.9;4.852;4.9
20240203135052,0;0;0;0;0;0,0.005358849;0.2494429;-1.224864;0.004694596;-0.01389848;0.006228577,56;53;52;48;47;29;32;28,11.94;11.884;11.788;11.3;11.3;4.9;4.852;4.9
20240203135053,0;0;0;0;0;0,-0.0007288597;0.2994361;-1.300611;0.003160615;-0.001626634;0.003160615,57;53;52;48;46;29;32;28,11.98;11.928;11.844;11.3;11.3;4.9;4.875;4.8
20240203135053,0;0;0;0;0;0,0.08602098;-0.01264272;-0.8415828;0.01543246;-0.1718985;0.03077227,57;53;52;48;46;29;32;28,11.98;11.928;11.844;11.3;11.3;4.9;4.875;4.8
20240203135054,0;0;0;0;0;0,0.08602098;-0.01264272;-0.8415828;0.01543246;-0.1718985;0.03077227,57;53;52;48;46;29;32;28,11.98;11.928;11.844;11.3;11.3;4.9;4.875;4.8
20240203135054,0;0;0;0;0;0,0.1590735;-0.3232066;-0.3810393;0.03537421;-0.3130247;0.0599179,57;53;52;48;46;29;32;28,11.944;11.892;11.772;11.3;11.2;4.9;4.842;4.8
20240203135055,0;0;0;0;0;0,0.1590735;-0.3232066;-0.3810393;0.03537421;-0.3130247;0.0599179,57;53;52;48;46;29;32;28,11.944;11.892;11.772;11.3;11.2;4.9;4.842;4.8
20240203135055,0;0;0;0;0;0,0.2427795;-0.7383018;0.2294838;0.0599179;-0.4863646;0.0921315,57;53;52;48;46;29;32;28,11.944;11.912;11.82;11.3;11.2;4.9;4.857;4.9
20240203135056,0;0;0;0;0;0,0.2092971;-0.6292257;0.06132486;0.05684994;-0.4188694;0.08292761,57;53;52;48;46;29;32;28,11.944;11.912;11.82;11.3;11.2;4.9;4.857;4.9
20240203135056,0;0;0;0;0;0,0.2092971;-0.6292257;0.06132486;0.05684994;-0.4188694;0.08292761,57;53;52;48;46;29;32;28,11.944;11.912;11.82;11.3;11.2;4.9;4.857;4.9
20240203135057,0;0;0;0;0;0,0.07080171;-0.06112099;-0.7703804;0.02463635;-0.1396849;0.03077227,56;53;52;48;46;29;32;28,11.944;11.892;11.828;11.3;11.2;4.9;4.89;4.9
20240203135057,0;0;0;0;0;0,0.07080171;-0.06112099;-0.7703804;0.02463635;-0.1396849;0.03077227,56;53;52;48;46;29;32;28,11.944;11.892;11.828;11.3;11.2;4.9;4.89;4.9
20240203135058,0;0;0;0;0;0,0.008402703;0.2252038;-1.188505;0.006228577;-0.02156838;0.007762557,56;53;52;48;46;29;32;28,11.944;11.892;11.828;11.3;11.2;4.9;4.89;4.9
20240203135058,0;0;0;0;0;0,0.008402703;0.2252038;-1.188505;0.006228577;-0.02156838;0.007762557,56;53;52;48;46;29;32;28,11.944;11.892;11.828;11.3;11.2;4.9;4.89;4.9
20240203135059,0;0;0;0;0;0,0.01601234;0.2509578;-1.223349;0.003160615;-0.02617033;0.004694596,57;53;52;48;46;29;32;28,11.964;11.908;11.836;11.3;11.2;4.9;4.852;4.8
20240203135059,0;0;0;0;0;0,0.07688943;0.02523093;-0.8991508;0.0123645;-0.1534907;0.02923829,57;53;52;48;46;29;32;28,11.964;11.908;11.836;11.3;11.2;4.9;4.852;4.8
20240203135100,0;0;0;0;0;0,0.07688943;0.02523093;-0.8991508;0.0123645;-0.1534907;0.02923829,57;53;52;48;46;29;32;28,11.964;11.908;11.836;11.3;11.2;4.9;4.852;4.8
20240203135100,0;0;0;0;0;0,0.2184286;-0.5777175;-0.005332758;0.05378198;-0.4388112;0.08139364,56;53;52;48;46;30;32;28,11.94;11.896;11.776;11.3;11.3;4.9;4.885;4.8
20240203135101,0;0;0;0;0;0,0.2184286;-0.5777175;-0.005332758;0.05378198;-0.4388112;0.08139364,56;53;52;48;46;30;32;28,11.94;11.896;11.776;11.3;11.3;4.9;4.885;4.8
20240203135101,0;0;0;0;0;0,0.2427795;-0.7367868;0.2279689;0.0599179;-0.4878986;0.0921315,56;53;52;48;46;30;32;28,11.94;11.896;11.776;11.3;11.3;4.9;4.885;4.8
20240203135102,0;0;0;0;0;0,0.1529858;-0.4095585;-0.2537839;0.04764606;-0.3053548;0.06145189,57;53;52;48;46;29;32;28,11.948;11.896;11.844;11.3;11.2;4.9;4.864;4.8
20240203135102,0;0;0;0;0;0,0.1529858;-0.4095585;-0.2537839;0.04764606;-0.3053548;0.06145189,57;53;52;48;46;29;32;28,11.948;11.896;11.844;11.3;11.2;4.9;4.864;4.8
20240203135103,0;0;0;0;0;0,0.08449906;-0.1217188;-0.6779687;0.02770431;-0.1688305;0.03537421,57;53;52;48;46;29;32;28,11.948;11.896;11.844;11.3;11.2;4.9;4.864;4.8
20240203135103,0;0;0;0;0;0,0.08449906;-0.1217188;-0.6779687;0.02770431;-0.1688305;0.03537421,57;53;52;48;46;29;32;28,11.948;11.896;11.844;11.3;11.2;4.9;4.864;4.8
20240203135104,0;0;0;0;0;0,0.0007930673;0.2994361;-1.300611;0.003160615;-0.004694596;0.003160615,57;53;52;48;46;29;32;28,11.964;11.912;11.836;11.3;11.2;4.9;4.885;4.8
20240203135104,0;0;0;0;0;0,0.008402703;0.2767119;-1.262738;0.003160615;-0.01083052;0.004694596,57;53;52;48;46;29;32;28,11.964;11.912;11.836;11.3;11.2;4.9;4.885;4.8
20240203135105,0;0;0;0;0;0,0.008402703;0.2767119;-1.262738;0.003160615;-0.01083052;0.004694596,57;53;52;48;46;29;32;28,11.964;11.912;11.836;11.3;11.2;4.9;4.885;4.8
20240203135105,0;0;0;0;0;0,0.1316788;-0.2065558;-0.5552581;0.03077227;-0.2654713;0.04611208,57;53;52;48;47;29;32;28,11.948;11.908;11.772;11.4;11.2;4.9;4.865;4.8
20240203135106,0;0;0;0;0;0,0.1316788;-0.2065558;-0.5552581;0.03077227;-0.2654713;0.04611208,57;53;52;48;47;29;32;28,11.948;11.908;11.772;11.4;11.2;4.9;4.865;4.8
